Time,Demand,Day,Month,Year,Winter,Spring,Summer,Fall,sma,ema
2014-05-15 00:00:00,0,15,5,2014,0,1,0,0,2.2,3.1187669193559167
2014-05-15 03:00:00,0,15,5,2014,0,1,0,0,2.4,2.0339044331249934
2014-05-15 06:00:00,1,15,5,2014,0,1,0,0,3.0,3.079177946237278
2014-05-15 09:00:00,5,15,5,2014,0,1,0,0,2.8,1.3559362887499957
2014-05-15 12:00:00,5,15,5,2014,0,1,0,0,1.8,2.0527852974915186
2014-05-15 15:00:00,1,15,5,2014,0,1,0,0,0.8,0.9039575258333306
2014-05-15 18:00:00,3,15,5,2014,0,1,0,0,1.0,2.0351901983276792
2014-05-15 21:00:00,0,15,5,2014,0,1,0,0,1.6,2.6026383505555533
2014-05-16 00:00:00,0,16,5,2014,0,1,0,0,2.4,2.690126798885119
2014-05-16 03:00:00,0,16,5,2014,0,1,0,0,3.0,2.735092233703702
2014-05-16 06:00:00,2,16,5,2014,0,1,0,0,4.4,4.126751199256746
2014-05-16 09:00:00,6,16,5,2014,0,1,0,0,4.2,2.156728155802468
2014-05-16 12:00:00,4,16,5,2014,0,1,0,0,3.2,3.0845007995044975
2014-05-16 15:00:00,3,16,5,2014,0,1,0,0,2.8,2.1044854372016455
2014-05-16 18:00:00,7,16,5,2014,0,1,0,0,2.4,2.389667199669665
2014-05-16 21:00:00,1,16,5,2014,0,1,0,0,1.2,1.7363236248010971
2014-05-17 00:00:00,1,17,5,2014,0,1,0,0,2.0,3.2597781331131097
2014-05-17 03:00:00,2,17,5,2014,0,1,0,0,2.2,1.824215749867398
2014-05-17 06:00:00,1,17,5,2014,0,1,0,0,2.2,2.8398520887420733
2014-05-17 09:00:00,1,17,5,2014,0,1,0,0,2.6,2.216143833244932
2014-05-17 12:00:00,5,17,5,2014,0,1,0,0,2.6,2.2265680591613823
2014-05-17 15:00:00,2,17,5,2014,0,1,0,0,1.6,1.477429222163288
2014-05-17 18:00:00,2,17,5,2014,0,1,0,0,1.8,2.4843787061075884
2014-05-17 21:00:00,3,17,5,2014,0,1,0,0,2.6,2.9849528147755255
2014-05-18 00:00:00,1,18,5,2014,0,1,0,0,4.4,5.6562524707383925
2014-05-18 03:00:00,0,18,5,2014,0,1,0,0,6.6,5.989968543183684
2014-05-18 06:00:00,3,18,5,2014,0,1,0,0,7.2,4.770834980492261
2014-05-18 09:00:00,6,18,5,2014,0,1,0,0,7.0,4.659979028789123
2014-05-18 12:00:00,12,18,5,2014,0,1,0,0,5.8,3.1805566536615077
2014-05-18 15:00:00,12,18,5,2014,0,1,0,0,3.4,3.1066526858594155
2014-05-18 18:00:00,3,18,5,2014,0,1,0,0,2.2,4.1203711024410055
2014-05-18 21:00:00,2,18,5,2014,0,1,0,0,2.6,3.73776845723961
2014-05-19 00:00:00,0,19,5,2014,0,1,0,0,3.6,5.080247401627337
2014-05-19 03:00:00,0,19,5,2014,0,1,0,0,5.0,4.825178971493074
2014-05-19 06:00:00,6,19,5,2014,0,1,0,0,6.0,5.053498267751558
2014-05-19 09:00:00,5,19,5,2014,0,1,0,0,5.0,3.550119314328716
2014-05-19 12:00:00,7,19,5,2014,0,1,0,0,4.0,3.3689988451677055
2014-05-19 15:00:00,7,19,5,2014,0,1,0,0,2.6,2.3667462095524776
2014-05-19 18:00:00,5,19,5,2014,0,1,0,0,1.6,2.91266589677847
2014-05-19 21:00:00,1,19,5,2014,0,1,0,0,1.8,3.5778308063683184
2014-05-20 00:00:00,0,20,5,2014,0,1,0,0,2.8,3.94177726451898
2014-05-20 03:00:00,0,20,5,2014,0,1,0,0,3.2,3.0518872042455456
2014-05-20 06:00:00,2,20,5,2014,0,1,0,0,3.8,3.6278515096793202
2014-05-20 09:00:00,6,20,5,2014,0,1,0,0,3.8,2.701258136163697
